Order Date,Order Time,Order #,Menu Item,Menu Group,Qty,Net Price,Dining Option,Server
6/28/2026,08:55 PM,T-1028,"Falafel Wrap",Wraps,1,9.69,Dine In,Amina
6/28/2026,06:20 PM,T-1029,"Chicken Wrap",Wraps,1,10.62,Takeout,Amina
6/28/2026,06:20 PM,T-1029,"Hummus",Starters,1,6.39,Takeout,Amina
6/28/2026,06:20 PM,T-1029,"Mint Tea",Drinks,1,2.79,Takeout,Amina
6/28/2026,06:20 PM,T-1029,"Mint Tea",Drinks,1,2.80,Takeout,Amina
6/28/2026,12:33 PM,T-1030,"Beef Shawarma Plate",Plates,1,15.56,Takeout,Omar
6/28/2026,12:33 PM,T-1030,"Stuffed Grape Leaves",Starters,2,14.01,Takeout,Omar
6/28/2026,12:33 PM,T-1030,"Fresh Lemonade",Drinks,1,3.56,Takeout,Omar
6/29/2026,01:19 PM,T-1031,"Hummus",Starters,1,6.54,Takeout,Chris
6/29/2026,01:19 PM,T-1031,"Hummus",Starters,1,6.59,Takeout,Chris
6/29/2026,11:59 AM,T-1032,"Hummus",Starters,1,6.41,Dine In,Layla
6/29/2026,11:59 AM,T-1032,"Side Fries",Sides,1,3.48,Dine In,Layla
6/29/2026,12:45 PM,T-1033,"Chicken Shawarma Plate",Plates,2,28.84,Takeout,Layla
6/29/2026,03:30 PM,T-1034,"Mint Tea",Drinks,1,2.78,Dine In,Chris
6/29/2026,03:30 PM,T-1034,"Chicken Shawarma Plate",Plates,1,14.53,Dine In,Chris
6/29/2026,12:27 PM,T-1035,"Fresh Lemonade",Drinks,1,3.48,Takeout,Amina
6/29/2026,12:27 PM,T-1035,"Fresh Lemonade",Drinks,2,6.94,Takeout,Amina
6/29/2026,12:27 PM,T-1035,"Greek Salad",Salads,2,17.97,Takeout,Amina
6/29/2026,12:26 PM,T-1036,"Fattoush Salad",Salads,2,17.23,Takeout,Chris
6/29/2026,12:26 PM,T-1036,"Hummus",Starters,1,6.61,Takeout,Chris
6/29/2026,12:40 PM,T-1037,"Side Fries",Sides,2,7.13,Takeout,Chris
6/29/2026,12:40 PM,T-1037,"Turkish Coffee",Drinks,2,6.58,Takeout,Chris
6/29/2026,12:40 PM,T-1037,"Beef Shawarma Plate",Plates,1,15.81,Takeout,Chris
6/29/2026,12:40 PM,T-1038,"Side Rice",Sides,1,2.97,Takeout,Omar
6/29/2026,12:40 PM,T-1038,"Beef Shawarma Plate",Plates,1,15.64,Takeout,Omar
6/29/2026,12:40 PM,T-1038,"Chicken Shawarma Plate",Plates,1,14.35,Takeout,Omar
6/29/2026,06:38 PM,T-1039,"Chicken Shawarma Plate",Plates,1,14.72,Delivery,Layla
6/29/2026,06:38 PM,T-1039,"Falafel Wrap",Wraps,1,9.65,Delivery,Layla
6/29/2026,06:38 PM,T-1039,"Hummus",Starters,1,6.59,Delivery,Layla
6/29/2026,06:38 PM,T-1039,"Greek Salad",Salads,1,8.99,Delivery,Layla
6/29/2026,07:35 PM,T-1040,"Fattoush Salad",Salads,1,8.46,Dine In,Chris
6/29/2026,07:35 PM,T-1040,"Fattoush Salad",Salads,1,8.66,Dine In,Chris
6/29/2026,07:35 PM,T-1040,"Mixed Grill",Plates,1,19.06,Dine In,Chris
6/29/2026,05:37 PM,T-1041,"Chicken Shawarma Plate",Plates,2,28.42,Delivery,Chris
6/29/2026,07:44 PM,T-1042,"Chicken Wrap",Wraps,1,10.60,Takeout,Amina
6/29/2026,07:44 PM,T-1042,"Lentil Soup",Starters,1,5.53,Takeout,Amina
6/29/2026,07:44 PM,T-1042,"Fattoush Salad",Salads,2,17.05,Takeout,Amina
6/29/2026,07:35 PM,T-1043,"Falafel Wrap",Wraps,2,19.34,Dine In,Amina
6/29/2026,07:35 PM,T-1043,"Lamb Wrap",Wraps,1,11.43,Dine In,Amina
6/29/2026,07:35 PM,T-1043,"Lentil Soup",Starters,2,11.17,Dine In,Amina
6/29/2026,07:35 PM,T-1043,"Fresh Lemonade",Drinks,1,3.56,Dine In,Amina
6/29/2026,05:13 PM,T-1044,"Side Fries",Sides,1,3.52,Dine In,Omar
6/29/2026,05:13 PM,T-1044,"Fattoush Salad",Salads,2,16.83,Dine In,Omar
6/29/2026,05:13 PM,T-1044,"Side Fries",Sides,1,3.56,Dine In,Omar
6/29/2026,07:13 PM,T-1045,"Baba Ganoush",Starters,1,6.49,Dine In,Noor
6/29/2026,07:13 PM,T-1045,"Beef Shawarma Plate",Plates,1,15.75,Dine In,Noor
6/29/2026,07:53 PM,T-1046,"Hummus",Starters,1,6.54,Takeout,Noor
6/29/2026,07:53 PM,T-1046,"Greek Salad",Salads,1,8.88,Takeout,Noor
6/29/2026,07:19 PM,T-1047,"Chicken Shawarma Plate",Plates,1,14.62,Dine In,Amina
6/29/2026,07:19 PM,T-1047,"Beef Shawarma Plate",Plates,1,15.32,Dine In,Amina
6/29/2026,01:20 PM,T-1048,"Chicken Shawarma Plate",Plates,1,14.41,Dine In,Chris
6/29/2026,01:20 PM,T-1048,"Kids Nuggets",Kids,2,15.27,Dine In,Chris
6/29/2026,01:20 PM,T-1048,"Hummus",Starters,1,6.54,Dine In,Chris
6/29/2026,06:56 PM,T-1049,"Fattoush Salad",Salads,1,8.34,Dine In,Omar
6/29/2026,06:56 PM,T-1049,"Knafeh",Desserts,1,6.01,Dine In,Omar
6/29/2026,12:40 PM,T-1050,"Mixed Grill",Plates,2,37.63,Takeout,Noor
6/29/2026,12:40 PM,T-1050,"Fresh Lemonade",Drinks,1,3.49,Takeout,Noor
6/29/2026,12:40 PM,T-1050,"Chicken Wrap",Wraps,1,10.43,Takeout,Noor
6/29/2026,07:52 PM,T-1051,"Fresh Lemonade",Drinks,1,3.49,Dine In,Layla
6/29/2026,07:52 PM,T-1051,"Side Fries",Sides,1,3.49,Dine In,Layla
6/29/2026,07:07 PM,T-1052,"Chicken Wrap",Wraps,2,21.19,Dine In,Chris
6/29/2026,07:07 PM,T-1052,"Lamb Wrap",Wraps,1,11.61,Dine In,Chris
6/29/2026,07:06 PM,T-1053,"Chicken Shawarma Plate",Plates,1,14.54,Delivery,Omar
6/29/2026,07:06 PM,T-1053,"Chicken Shawarma Plate",Plates,1,14.72,Delivery,Omar
6/29/2026,07:58 PM,T-1054,"Chicken Shawarma Plate",Plates,1,14.49,Takeout,Layla
6/29/2026,03:57 PM,T-1055,"Fresh Lemonade",Drinks,1,3.57,Takeout,Omar
6/30/2026,10:42 PM,T-1056,"Baklava",Desserts,2,9.16,Takeout,Noor
6/30/2026,01:00 PM,T-1057,"Greek Salad",Salads,1,9.11,Delivery,Chris
6/30/2026,01:00 PM,T-1057,"Chicken Shawarma Plate",Plates,1,14.34,Delivery,Chris
6/30/2026,05:04 PM,T-1058,"Mixed Grill",Plates,1,19.13,Dine In,Noor
6/30/2026,05:04 PM,T-1058,"Chicken Shawarma Plate",Plates,2,28.81,Dine In,Noor
6/30/2026,05:04 PM,T-1058,"Side Fries",Sides,2,7.08,Dine In,Noor
6/30/2026,12:16 PM,T-1059,"Lentil Soup",Starters,1,5.40,Dine In,Chris
6/30/2026,12:16 PM,T-1059,"Kids Nuggets",Kids,1,7.54,Dine In,Chris
6/30/2026,07:25 PM,T-1060,"Fattoush Salad",Salads,1,8.52,Dine In,Noor
6/30/2026,03:21 PM,T-1061,"Greek Salad",Salads,1,9.14,Dine In,Chris
6/30/2026,12:08 PM,T-1062,"Side Fries",Sides,2,6.98,Takeout,Chris
6/30/2026,12:08 PM,T-1062,"Side Rice",Sides,2,5.90,Takeout,Chris
6/30/2026,07:29 PM,T-1063,"Side Fries",Sides,1,3.56,Delivery,Omar
6/30/2026,07:29 PM,T-1063,"Fresh Lemonade",Drinks,1,3.47,Delivery,Omar
6/30/2026,07:29 PM,T-1063,"Falafel Wrap",Wraps,1,9.41,Delivery,Omar
6/30/2026,12:42 PM,T-1064,"Chicken Shawarma Plate",Plates,1,14.53,Dine In,Omar
6/30/2026,12:42 PM,T-1064,"Hummus",Starters,1,6.54,Dine In,Omar
6/30/2026,06:46 PM,T-1065,"Chicken Wrap",Wraps,1,10.70,Delivery,Chris
6/30/2026,06:46 PM,T-1065,"Falafel Wrap",Wraps,1,9.47,Delivery,Chris
6/30/2026,07:11 PM,T-1066,"Fattoush Salad",Salads,1,8.46,Takeout,Chris
6/30/2026,07:11 PM,T-1066,"Baklava",Desserts,1,4.42,Takeout,Chris
6/30/2026,06:07 PM,T-1067,"Chicken Wrap",Wraps,2,20.98,Takeout,Amina
6/30/2026,08:48 PM,T-1068,"Chicken Shawarma Plate",Plates,1,14.65,Dine In,Noor
6/30/2026,08:48 PM,T-1068,"Kids Nuggets",Kids,1,7.43,Dine In,Noor
6/30/2026,06:16 PM,T-1069,"Baba Ganoush",Starters,2,12.95,Delivery,Chris
6/30/2026,06:16 PM,T-1069,"Side Fries",Sides,1,3.44,Delivery,Chris
6/30/2026,12:14 PM,T-1070,"Chicken Wrap",Wraps,1,10.31,Dine In,Noor
6/30/2026,12:34 PM,T-1071,"Falafel Wrap",Wraps,1,9.69,Takeout,Amina
6/30/2026,12:34 PM,T-1071,"Lentil Soup",Starters,1,5.46,Takeout,Amina
6/30/2026,12:53 PM,T-1072,"Beef Shawarma Plate",Plates,1,15.48,Delivery,Chris
6/30/2026,12:53 PM,T-1072,"Fattoush Salad",Salads,1,8.50,Delivery,Chris
6/30/2026,12:53 PM,T-1072,"Hummus",Starters,1,6.54,Delivery,Chris
6/30/2026,01:48 PM,T-1073,"Knafeh",Desserts,1,6.06,Takeout,Amina
6/30/2026,01:29 PM,T-1074,"Greek Salad",Salads,1,9.01,Dine In,Chris
6/30/2026,01:29 PM,T-1074,"Baklava",Desserts,2,8.88,Dine In,Chris
6/30/2026,12:31 PM,T-1075,"Hummus",Starters,1,6.44,Dine In,Omar
6/30/2026,12:31 PM,T-1075,"Greek Salad",Salads,1,9.08,Dine In,Omar
6/30/2026,12:54 PM,T-1076,"Chicken Shawarma Plate",Plates,1,14.57,Takeout,Noor
6/30/2026,12:54 PM,T-1076,"Falafel Wrap",Wraps,2,19.36,Takeout,Noor
6/30/2026,07:47 PM,T-1077,"Side Fries",Sides,1,3.53,Dine In,Omar
6/30/2026,07:47 PM,T-1077,"Turkish Coffee",Drinks,2,6.58,Dine In,Omar
6/30/2026,12:22 PM,T-1078,"Fresh Lemonade",Drinks,1,3.52,Takeout,Amina
6/30/2026,12:22 PM,T-1078,"Mixed Grill",Plates,1,18.75,Takeout,Amina
6/30/2026,07:56 PM,T-1079,"Fresh Lemonade",Drinks,1,3.48,Delivery,Omar
6/30/2026,07:56 PM,T-1079,"Beef Shawarma Plate",Plates,1,15.75,Delivery,Omar
6/30/2026,07:50 PM,T-1080,"Lamb Wrap",Wraps,1,11.71,Takeout,Chris
6/30/2026,12:49 PM,T-1081,"Mixed Grill",Plates,1,18.91,Dine In,Noor
6/30/2026,12:49 PM,T-1081,"Kids Nuggets",Kids,1,7.60,Dine In,Noor
6/30/2026,12:49 PM,T-1081,"Chicken Shawarma Plate",Plates,1,14.57,Dine In,Noor
6/30/2026,12:49 PM,T-1081,"Chicken Wrap",Wraps,1,10.55,Dine In,Noor
6/30/2026,10:04 PM,T-1082,"Side Rice",Sides,1,3.00,Dine In,Amina
6/30/2026,10:04 PM,T-1082,"Chicken Wrap",Wraps,1,10.39,Dine In,Amina
6/30/2026,01:28 PM,T-1083,"Side Rice",Sides,1,3.02,Takeout,Noor
6/30/2026,01:28 PM,T-1083,"Beef Shawarma Plate",Plates,1,15.53,Takeout,Noor
6/30/2026,07:13 PM,T-1084,"Hummus",Starters,1,6.50,Takeout,Layla
6/30/2026,07:13 PM,T-1084,"Fresh Lemonade",Drinks,1,3.43,Takeout,Layla
6/30/2026,01:26 PM,T-1085,"Greek Salad",Salads,1,9.15,Delivery,Noor
6/30/2026,01:26 PM,T-1085,"Mixed Grill",Plates,1,19.15,Delivery,Noor
7/1/2026,06:39 PM,T-1086,"Chicken Wrap",Wraps,1,10.35,Takeout,Omar
7/1/2026,06:39 PM,T-1086,"Hummus",Starters,1,6.43,Takeout,Omar
7/1/2026,03:14 PM,T-1087,"Lentil Soup",Starters,1,5.41,Takeout,Amina
7/1/2026,03:14 PM,T-1087,"Fattoush Salad",Salads,1,8.39,Takeout,Amina
7/1/2026,03:14 PM,T-1087,"Baklava",Desserts,1,4.51,Takeout,Amina
7/1/2026,12:29 PM,T-1088,"Fresh Lemonade",Drinks,2,7.12,Delivery,Chris
7/1/2026,12:29 PM,T-1088,"Mint Tea",Drinks,1,2.77,Delivery,Chris
7/1/2026,12:07 PM,T-1089,"Falafel Wrap",Wraps,1,9.64,Delivery,Chris
7/1/2026,12:07 PM,T-1089,"Chicken Wrap",Wraps,1,10.71,Delivery,Chris
7/1/2026,07:31 PM,T-1090,"Lamb Wrap",Wraps,1,11.65,Delivery,Omar
7/1/2026,07:56 PM,T-1091,"Turkish Coffee",Drinks,1,3.30,Dine In,Chris
7/1/2026,02:06 PM,T-1092,"Fattoush Salad",Salads,2,17.09,Takeout,Omar
7/1/2026,02:06 PM,T-1092,"Fresh Lemonade",Drinks,1,3.45,Takeout,Omar
7/1/2026,02:06 PM,T-1092,"Chicken Shawarma Plate",Plates,1,14.66,Takeout,Omar
7/1/2026,10:04 AM,T-1093,"Fresh Lemonade",Drinks,2,6.99,Dine In,Layla
7/1/2026,10:04 AM,T-1093,"Hummus",Starters,1,6.39,Dine In,Layla
7/1/2026,07:09 PM,T-1094,"Fresh Lemonade",Drinks,1,3.46,Dine In,Amina
7/1/2026,07:09 PM,T-1094,"Lamb Wrap",Wraps,1,11.32,Dine In,Amina
7/1/2026,12:56 PM,T-1095,"Fattoush Salad",Salads,2,16.97,Dine In,Amina
7/1/2026,12:56 PM,T-1095,"Lamb Wrap",Wraps,1,11.32,Dine In,Amina
7/1/2026,07:54 PM,T-1096,"Fresh Lemonade",Drinks,1,3.46,Delivery,Chris
7/1/2026,07:54 PM,T-1096,"Lentil Soup",Starters,2,10.95,Delivery,Chris
7/1/2026,12:21 PM,T-1097,"Side Fries",Sides,1,3.49,Dine In,Omar
7/1/2026,12:21 PM,T-1097,"Chicken Shawarma Plate",Plates,1,14.26,Dine In,Omar
7/1/2026,07:45 PM,T-1098,"Fresh Lemonade",Drinks,2,6.91,Takeout,Chris
7/1/2026,07:45 PM,T-1098,"Turkish Coffee",Drinks,1,3.25,Takeout,Chris
7/1/2026,12:11 PM,T-1099,"Fattoush Salad",Salads,2,16.84,Takeout,Amina
7/1/2026,12:11 PM,T-1099,"Beef Shawarma Plate",Plates,1,15.54,Takeout,Amina
7/1/2026,12:11 PM,T-1099,"Chicken Shawarma Plate",Plates,1,14.52,Takeout,Amina
7/1/2026,12:11 PM,T-1099,"Beef Shawarma Plate",Plates,2,31.57,Takeout,Amina
7/1/2026,05:27 PM,T-1100,"Chicken Shawarma Plate",Plates,2,28.58,Takeout,Omar
7/1/2026,04:10 PM,T-1101,"Side Fries",Sides,1,3.53,Delivery,Layla
7/1/2026,07:55 PM,T-1102,"Falafel Wrap",Wraps,1,9.59,Takeout,Chris
7/1/2026,07:55 PM,T-1102,"Mixed Grill",Plates,2,38.46,Takeout,Chris
7/1/2026,12:32 PM,T-1103,"Mint Tea",Drinks,1,2.73,Dine In,Amina
7/1/2026,12:32 PM,T-1103,"Chicken Wrap",Wraps,1,10.40,Dine In,Amina
7/1/2026,12:32 PM,T-1103,"Side Fries",Sides,1,3.48,Dine In,Amina
7/1/2026,12:32 PM,T-1103,"Beef Shawarma Plate",Plates,1,15.31,Dine In,Amina
7/1/2026,07:19 PM,T-1104,"Fresh Lemonade",Drinks,1,3.55,Takeout,Omar
7/1/2026,07:19 PM,T-1104,"Hummus",Starters,1,6.58,Takeout,Omar
7/1/2026,07:19 PM,T-1104,"Lentil Soup",Starters,1,5.41,Takeout,Omar
7/1/2026,12:22 PM,T-1105,"Baklava",Desserts,1,4.46,Takeout,Amina
7/1/2026,07:20 PM,T-1106,"Fresh Lemonade",Drinks,1,3.47,Dine In,Chris
7/1/2026,07:20 PM,T-1106,"Hummus",Starters,1,6.39,Dine In,Chris
7/1/2026,07:20 PM,T-1106,"Kids Nuggets",Kids,1,7.58,Dine In,Chris
7/1/2026,06:56 PM,T-1107,"Side Fries",Sides,2,7.00,Dine In,Amina
7/1/2026,06:56 PM,T-1107,"Chicken Shawarma Plate",Plates,2,29.41,Dine In,Amina
7/1/2026,06:56 PM,T-1107,"Mixed Grill",Plates,1,19.23,Dine In,Amina
7/1/2026,03:39 PM,T-1108,"Side Rice",Sides,1,3.05,Dine In,Omar
7/1/2026,03:39 PM,T-1108,"Chicken Wrap",Wraps,1,10.61,Dine In,Omar
7/1/2026,12:10 PM,T-1109,"Turkish Coffee",Drinks,2,6.50,Delivery,Noor
7/1/2026,12:10 PM,T-1109,"Stuffed Grape Leaves",Starters,1,7.09,Delivery,Noor
7/1/2026,12:10 PM,T-1109,"Side Fries",Sides,1,3.53,Delivery,Noor
7/1/2026,06:40 PM,T-1110,"Beef Shawarma Plate",Plates,1,15.24,Dine In,Chris
7/1/2026,06:40 PM,T-1110,"Hummus",Starters,1,6.46,Dine In,Chris
7/1/2026,09:38 PM,T-1111,"Mint Tea",Drinks,1,2.72,Dine In,Amina
7/1/2026,09:38 PM,T-1111,"Falafel Wrap",Wraps,1,9.52,Dine In,Amina
7/1/2026,09:38 PM,T-1111,"Side Fries",Sides,1,3.53,Dine In,Amina
7/1/2026,12:04 PM,T-1112,"Side Rice",Sides,1,2.97,Takeout,Noor
7/1/2026,12:29 PM,T-1113,"Beef Shawarma Plate",Plates,2,31.61,Delivery,Amina
7/1/2026,12:29 PM,T-1113,"Fresh Lemonade",Drinks,1,3.52,Delivery,Amina
7/1/2026,12:29 PM,T-1113,"Lamb Wrap",Wraps,1,11.40,Delivery,Amina
7/2/2026,01:43 PM,T-1114,"Turkish Coffee",Drinks,1,3.22,Takeout,Amina
7/2/2026,01:43 PM,T-1114,"Chicken Shawarma Plate",Plates,1,14.58,Takeout,Amina
7/2/2026,10:33 PM,T-1115,"Baba Ganoush",Starters,1,6.40,Dine In,Chris
7/2/2026,07:10 PM,T-1116,"Fattoush Salad",Salads,1,8.58,Takeout,Layla
7/2/2026,11:48 AM,T-1117,"Chicken Wrap",Wraps,1,10.42,Dine In,Chris
7/2/2026,07:43 PM,T-1118,"Baba Ganoush",Starters,2,13.07,Takeout,Noor
7/2/2026,07:43 PM,T-1118,"Beef Shawarma Plate",Plates,2,31.50,Takeout,Noor
7/2/2026,07:43 PM,T-1118,"Chicken Shawarma Plate",Plates,1,14.76,Takeout,Noor
7/2/2026,12:16 PM,T-1119,"Falafel Wrap",Wraps,1,9.51,Takeout,Omar
7/2/2026,12:16 PM,T-1119,"Mixed Grill",Plates,1,18.77,Takeout,Omar
7/2/2026,12:16 PM,T-1119,"Lentil Soup",Starters,1,5.59,Takeout,Omar
7/2/2026,03:21 PM,T-1120,"Kids Nuggets",Kids,1,7.36,Dine In,Chris
7/2/2026,03:21 PM,T-1120,"Fattoush Salad",Salads,2,17.02,Dine In,Chris
7/2/2026,03:21 PM,T-1120,"Lentil Soup",Starters,1,5.53,Dine In,Chris
7/2/2026,07:23 PM,T-1121,"Fresh Lemonade",Drinks,1,3.54,Dine In,Noor
7/2/2026,07:29 PM,T-1122,"Side Fries",Sides,1,3.54,Dine In,Omar
7/2/2026,07:29 PM,T-1122,"Chicken Shawarma Plate",Plates,2,29.26,Dine In,Omar
7/2/2026,07:57 PM,T-1123,"Side Fries",Sides,2,6.93,Dine In,Amina
7/2/2026,10:59 AM,T-1124,"Lentil Soup",Starters,1,5.56,Takeout,Noor
7/2/2026,10:59 AM,T-1124,"Chicken Shawarma Plate",Plates,1,14.53,Takeout,Noor
7/2/2026,07:24 PM,T-1125,"Fresh Lemonade",Drinks,1,3.52,Dine In,Chris
7/2/2026,07:24 PM,T-1125,"Chicken Shawarma Plate",Plates,1,14.28,Dine In,Chris
7/2/2026,02:14 PM,T-1126,"Fresh Lemonade",Drinks,1,3.55,Dine In,Noor
7/2/2026,02:14 PM,T-1126,"Knafeh",Desserts,2,12.21,Dine In,Noor
7/2/2026,09:29 PM,T-1127,"Falafel Wrap",Wraps,1,9.46,Dine In,Layla
7/2/2026,09:29 PM,T-1127,"Hummus",Starters,1,6.39,Dine In,Layla
7/2/2026,09:29 PM,T-1127,"Mixed Grill",Plates,1,18.61,Dine In,Layla
7/2/2026,07:34 PM,T-1128,"Falafel Wrap",Wraps,1,9.56,Dine In,Chris
7/2/2026,07:29 PM,T-1129,"Beef Shawarma Plate",Plates,1,15.37,Dine In,Noor
7/2/2026,05:13 PM,T-1130,"Chicken Wrap",Wraps,1,10.37,Dine In,Omar
7/2/2026,05:13 PM,T-1130,"Mixed Grill",Plates,1,18.75,Dine In,Omar
7/2/2026,07:50 PM,T-1131,"Chicken Shawarma Plate",Plates,1,14.56,Takeout,Chris
7/2/2026,07:50 PM,T-1131,"Fresh Lemonade",Drinks,2,7.11,Takeout,Chris
7/2/2026,07:50 PM,T-1131,"Side Rice",Sides,1,3.06,Takeout,Chris
7/2/2026,02:13 PM,T-1132,"Fresh Lemonade",Drinks,1,3.46,Dine In,Noor
7/2/2026,02:13 PM,T-1132,"Baklava",Desserts,1,4.44,Dine In,Noor
7/2/2026,12:33 PM,T-1133,"Chicken Shawarma Plate",Plates,1,14.54,Dine In,Amina
7/2/2026,07:07 PM,T-1134,"Falafel Wrap",Wraps,1,9.32,Delivery,Amina
7/2/2026,07:57 PM,T-1135,"Stuffed Grape Leaves",Starters,1,6.97,Takeout,Omar
7/2/2026,07:57 PM,T-1135,"Fresh Lemonade",Drinks,2,6.87,Takeout,Omar
7/2/2026,06:05 PM,T-1136,"Fresh Lemonade",Drinks,1,3.50,Takeout,Amina
7/2/2026,06:05 PM,T-1136,"Side Fries",Sides,2,7.07,Takeout,Amina
7/2/2026,05:52 PM,T-1137,"Chicken Wrap",Wraps,1,10.49,Delivery,Omar
7/2/2026,05:52 PM,T-1137,"Side Fries",Sides,2,7.00,Delivery,Omar
7/2/2026,05:52 PM,T-1137,"Baba Ganoush",Starters,1,6.37,Delivery,Omar
7/2/2026,11:08 AM,T-1138,"Mixed Grill",Plates,1,18.53,Delivery,Layla
7/2/2026,11:08 AM,T-1138,"Lamb Wrap",Wraps,1,11.64,Delivery,Layla
7/2/2026,11:08 AM,T-1138,"Hummus",Starters,1,6.53,Delivery,Layla
7/2/2026,04:08 PM,T-1139,"Chicken Wrap",Wraps,1,10.29,Delivery,Layla
